Date and time;ghi;dni;dhi
2023-01-03 10:01:00+10:00;88.19131271164305;643.0158477460076;7.930447862591095
2023-01-03 10:02:00+10:00;90.02947253099777;647.7682564272199;8.049847582608962
2023-01-03 10:03:00+10:00;91.86619116701823;652.424139143908;8.16850311933267
2023-01-03 10:04:00+10:00;93.70113762406903;656.9858807512275;8.286415848388543
2023-01-03 10:05:00+10:00;95.53399331916555;661.45580372874;8.403587299314765
2023-01-03 10:06:00+10:00;97.36445273898593;665.8361719663496;8.520019209761614
2023-01-03 10:07:00+10:00;99.19221795785903;670.1291799785275;8.635713190470682
2023-01-03 10:08:00+10:00;101.0170054908021;674.3369716004495;8.750671174991254
2023-01-03 10:09:00+10:00;102.83854088010996;678.4616292861407;8.864895089183904
2023-01-03 10:10:00+10:00;104.6565594469189;682.5051782391232;8.978386913719646
2023-01-03 10:11:00+10:00;106.47080585555585;686.4695876585237;9.091148671020434
2023-01-03 10:12:00+10:00;108.28103366700633;690.3567719442474;9.203182411632795
2023-01-03 10:13:00+10:00;110.08700494806786;694.1685920022272;9.31449020411263
2023-01-03 10:14:00+10:00;111.88848988398779;697.906856527491;9.425074125093957
2023-01-03 10:15:00+10:00;113.68526641075533;701.573323297079;9.534936250501758
2023-01-03 10:16:00+10:00;115.47711988247931;705.1697004992063;9.644078648796267
2023-01-03 10:17:00+10:00;117.26384391962789;708.6976503354856;9.75250344558313
2023-01-03 10:18:00+10:00;119.04523532126679;712.1587809227639;9.860212528248454
2023-01-03 10:19:00+10:00;120.82110095488054;715.554661760138;9.967207976929274
2023-01-03 10:20:00+10:00;122.59125267577097;718.8868154809873;10.073491768600363
2023-01-03 10:21:00+10:00;124.35550827313547;722.1567215146969;10.179065847012424
2023-01-03 10:22:00+10:00;126.11369119656283;725.3658172778888;10.283932118240642
2023-01-03 10:23:00+10:00;127.86563032818563;728.5154994061163;10.38809244870292
2023-01-03 10:24:00+10:00;129.61115975059352;731.6071249315147;10.49154866264054
2023-01-03 10:25:00+10:00;131.35011852560618;734.6420124355208;10.594302539966506
2023-01-03 10:26:00+10:00;133.08235050044664;737.6214432049845;10.696355815448754
2023-01-03 10:27:00+10:00;134.8077040913411;740.5466623048883;10.797710176274435
2023-01-03 10:28:00+10:00;136.52603210949965;743.4188796814254;10.898367261831325
2023-01-03 10:29:00+10:00;138.23719272472408;746.2392730830815;10.99832872956189
2023-01-03 10:30:00+10:00;139.94104471098728;749.0089815558464;11.097595986785109
2023-01-03 10:31:00+10:00;141.63745417008127;751.7291177876656;11.196170592561145
2023-01-03 10:32:00+10:00;143.326289783458;754.400761480102;11.29405398896003
2023-01-03 10:33:00+10:00;145.00742381590166;757.0249622000023;11.391247568334336
2023-01-03 10:34:00+10:00;146.6807319764765;759.6027402959248;11.487752673477672
2023-01-03 10:35:00+10:00;148.3460932826471;762.1350877826776;11.583570597708785
2023-01-03 10:36:00+10:00;150.00338994668692;764.6229692238379;11.678702585985292
2023-01-03 10:37:00+10:00;151.6525072364169;767.0673225403834;11.773149834294031
2023-01-03 10:38:00+10:00;153.2933333731243;769.4690598419434;11.866913490940021
2023-01-03 10:39:00+10:00;154.92575941892125;771.8290682088787;11.959994656991682
